iter	Logloss
0	0.6847739937
1	0.6767490283
2	0.6690590649
3	0.6609992725
4	0.6529281834
5	0.6454733913
6	0.6388809838
7	0.6316178273
8	0.6242956772
9	0.6176786713
10	0.6106760438
11	0.604311446
12	0.5977141721
13	0.5916458236
14	0.5859536881
15	0.5797030855
16	0.5735708651
17	0.5680372017
18	0.5625476634
19	0.5568685998
20	0.5523660286
21	0.5470006356
22	0.5420434379
23	0.5371920638
24	0.5321226861
25	0.5271391137
26	0.5231659986
27	0.5186716497
28	0.5144469261
29	0.5099687884
30	0.5051530383
31	0.5012098585
32	0.4970839335
33	0.4932233651
34	0.4894249082
35	0.4855203196
36	0.4817879524
37	0.4784798767
38	0.4751582667
39	0.471956956
40	0.4686082789
41	0.4657664082
42	0.4624615196
43	0.4594640421
44	0.4567431364
45	0.453773299
46	0.4509539323
47	0.448082388
48	0.4452959435
49	0.4425061665
50	0.4396686838
51	0.4372161489
52	0.4347767639
53	0.4321033675
54	0.4294515495
55	0.4268607947
56	0.4244962116
57	0.4220781515
58	0.419764365
59	0.4176752369
60	0.4153797959
61	0.4133396573
62	0.4113340928
63	0.4091515379
64	0.4071465453
65	0.4052496554
66	0.403239566
67	0.401289481
68	0.3992974468
69	0.3976395476
70	0.3959907393
71	0.394383281
72	0.3929491821
73	0.3914277987
74	0.3895925375
75	0.3879937469
76	0.3865891889
77	0.3850630078
78	0.3837963071
79	0.3821806285
80	0.3806870008
81	0.3793167715
82	0.3778358658
83	0.376241219
84	0.3749620986
85	0.3735338883
86	0.3722010847
87	0.3710735177
88	0.3698186988
89	0.3684759714
90	0.3672618829
91	0.366214877
92	0.3651817418
93	0.3639632385
94	0.3627741647
95	0.3617016797
96	0.3607286992
97	0.3595761386
98	0.3586643928
99	0.3576740353
100	0.356637411
101	0.3557469379
102	0.3547964641
103	0.3538608532
104	0.3529694637
105	0.351734561
106	0.3510722576
107	0.350221612
108	0.3492292564
109	0.3484576608
110	0.3476481332
111	0.3467094252
112	0.3459715125
113	0.3449910419
114	0.344298081
115	0.3434017839
116	0.3426141051
117	0.3417573411
118	0.3411316558
119	0.3404561396
120	0.3396951053
121	0.3389257388
122	0.3381183473
123	0.3373255303
124	0.336659356
125	0.3359010907
126	0.3352178063
127	0.3346969477
128	0.3339996396
129	0.3333226269
130	0.3325930279
131	0.3320347109
132	0.3313975749
133	0.3309013559
134	0.3301705152
135	0.3295333713
136	0.328916949
137	0.3283285956
138	0.3277903212
139	0.3273176665
140	0.3267924049
141	0.3262939464
142	0.3255277491
143	0.3249181845
